import time: self [us] | cumulative | imported package
import time:      1636 |       1636 |                           pylibjpeg.utils
import time:      1494 |       7802 |                         pylibjpeg
import time:        26 |       7828 |                       pylibjpeg.utils
import time:      1099 |       1099 |                       libjpeg._version
import time:      1296 |       1296 |                         _libjpeg
import time:      1045 |       2341 |                       libjpeg.utils
import time:      1146 |       1146 |                       openjpeg._version
import time:       990 |        990 |                         _openjpeg
import time:      1045 |       2035 |                       openjpeg.utils
import time:      1270 |       1270 |                       rle._version
import time:       672 |        672 |                         rle.rle
import time:       897 |       1569 |                       rle.utils
import time:       885 |        885 |                       PIL.features
import time:      1411 |       1411 |                           _CharLS
import time:       808 |       2219 |                         jpeg_ls.CharLS
import time:      2012 |       4230 |                       jpeg_ls
import time:     18586 |     332049 |                     pydicom.pixels.decoders.base
import time:       722 |     332770 |                   pydicom.pixels.decoders
import time:        51 |     332820 |                 pydicom.pixels.decoders.base
import time:      8514 |       8514 |                     pydicom.pixels.encoders.base
import time:       519 |       9033 |                   pydicom.pixels.encoders
import time:        25 |       9058 |                 pydicom.pixels.encoders.base
import time:       678 |     342556 |               pydicom.pixels
import time:        25 |     342580 |             pydicom.pixels.processing
import time:      1228 |     344511 |           pydicom.pixel_data_handlers
import time:       883 |     345393 |         pydicom.pixel_data_handlers.numpy_handler
import time:       765 |        765 |         pydicom.pixel_data_handlers.rle_handler
import time:       590 |        590 |         pydicom.pixel_data_handlers.pillow_handler
import time:       478 |        478 |         pydicom.pixel_data_handlers.jpeg_ls_handler
import time:       734 |        734 |         pydicom.pixel_data_handlers.gdcm_handler
import time:      6597 |       6597 |         pydicom.pixel_data_handlers.pylibjpeg_handler
import time:      1902 |     486582 |       pydicom.config
import time:       467 |        467 |         pydicom.errors
import time:      1070 |       1536 |       pydicom.hooks
import time:       562 |        562 |       pydicom.jsonrep
import time:       653 |        653 |       pydicom.multival
import time:      3791 |     493123 |     pydicom.dataelem
import time:      1498 |       1498 |       pydicom._version
import time:       929 |        929 |         pydicom.waveforms.numpy_handler
import time:       801 |       1729 |       pydicom.waveforms
import time:      2721 |       5947 |     pydicom.dataset
import time:       687 |        687 |         pydicom.sequence
import time:       572 |        572 |           pydicom.util
import time:       683 |       1254 |         pydicom.util.hexutil
import time:       558 |        558 |         encodings.latin_1
import time:      1888 |       4386 |       pydicom.filereader
import time:     20334 |      24720 |     pydicom.examples
import time:       972 |        972 |       pydicom.values
import time:      1653 |       2625 |     pydicom.filewriter
import time:      2353 |     528766 |   pydicom
import time:       729 |        729 |       modular_app
import time:      1116 |       1845 |     modular_app.ui
import time:      1512 |       3357 |   modular_app.ui.dicom_viewer_components
import time:       682 |        682 |     modular_app.core
import time:      1060 |       1742 |   modular_app.core.stitching_engine
import time:      1636 |       1636 |     dataclasses
